Name,Symbol,Website,Description,Sector,Industry,Beta,Dividend Rate,Earnings Growth,Revenue Growth,Shares OutStanding,EPS (trailing),Market Cap,52 Week Low,52 Week High,PEG ratio,Latest date_only,Latest Close,Latest Volume,Latest Close_ema_12,Latest Close_ema_26,Latest macd,Latest macd_ema_9,P/E ratio,Close_change_1d,Volume_change_1d,macd_change_1d,macd_ema_9_change_1d,Close_change_5d,Volume_change_5d,macd_change_5d,macd_ema_9_change_5d,Close_change_1m,Volume_change_1m,macd_change_1m,macd_ema_9_change_1m,Close_change_3m,Volume_change_3m,macd_change_3m,macd_ema_9_change_3m,Close_change_6m,Volume_change_6m,macd_change_6m,macd_ema_9_change_6m,Close_change_1y,Volume_change_1y,macd_change_1y,macd_ema_9_change_1y,PE 40th Percentile,PE Median,PE 60th Percentile,created_on
5paisa Capital Limited,5PAISA.NS,https://www.5paisa.com,"5paisa Capital Limited provides an online technology platform for trading in National Stock Exchange of India Limited, BSE Limited, and MCX. The company offers financial services, including online discounted stock broking, depository services; distributes mutual funds, bonds, and debentures, as well as insurance products; and provides equity and mutual fund research, investment advisory services, etc. It also provides peer-to-peer lending services through its website 5paisaloans.com; and mobile app 5Paisa Loans. The company offers its services through a web-based trading terminal, mobile application, and a state of the art call and trade unit. It serves retail investors and high-volume traders. The company was incorporated in 2007 and is headquartered in Thane, India.",Financial Services,Capital Markets,1.264925,Not Found,2.152,0.03,30635600,15.23,12799553536,270.1,430.0,0.61,2023-07-10,394.6499938964844,74636,381.69557508596324,368.5714371118248,13.12413797413842,10.797312339952242,25.9127,-0.93,-29.19,0.26906433186741197,0.5817064085465447,7.65,-11.7,6.224825417625027,1.7077485238295331,7.58,27.75,-5.828417907637913,-5.351660344096896,37.53,483.91,14.184671473571541,12.733048672682905,25.09,154.63,14.780766996120462,13.23075823043764,34.88,-37.27,21.441110667467797,19.129841611485688,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
Abans Holdings Limited,AHL.NS,https://www.abansholdings.com,"Abans Holdings Limited, together with its subsidiaries, operates as a non-banking finance company in India, and internationally. The company provides institutional trading services in equities, commodities, and foreign exchange; private client broking services; asset management services; and investment advisory and wealth management services. It also offers lending services to private traders and other small and medium businesses involved in the commodities trading market. In addition, the company provides wealth management and private client brokerage services in the areas of equity, commodities, and foreign exchange. Further, it invests in physical and exchange traded commodities and other instruments; and offers warehousing services to commodity market participants. Abans Holdings Limited was incorporated in 2009 and is based in Mumbai, India.",Financial Services,Capital Markets,Not Found,Not Found,Not Found,Not Found,50146000,13.05,14991632384,180.1,324.75,Not Found,2023-07-10,282.1499938964844,61367,285.41436465644887,283.8302128927856,1.5841517636632716,4.507257392186376,21.6207,0.73,-10.24,-0.45910443665303546,-0.7307764071307759,3.39,-99.42,-6.055306922007787,-3.574076070136182,0.52,-79.97,-4.953449433034393,-3.734154425088124,30.62,8.35,5.029047795942944,8.395507587034416,52.47,-32.21,10.727195086883398,11.284818944110208,29.19,-96.42,1.5841517636632716,4.507257392186376,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
Almondz Global Securities Limited,ALMONDZ.NS,https://www.almondzglobal.com,"Almondz Global Securities Limited operates as an investment bank in India. The company operates through Debt and Equity Market Operations, Consultancy and Advisory Fees, Wealth Advisory/Broking activities, Finance Activities, Healthcare Services, and Other segments. It offers corporate finance advisory services, including merchant banking, underwriting commission, corporate and loan syndication fees, and arranger of debts/bonds services, as well as involved in trading in shares and bonds. In addition, the company engages in broking and commission of mutual funds, initial public offerings, capital gain bonds, fixed deposits of government undertakings, RBI taxable bonds, and stock and share broking services. Further, the company provides advisory services in relation to infrastructure projects, as well as offers loans. Additionally, the company operates eye-care hospitals. Furthermore, the company provides consultancy, private equity, infrastructure advisory, equity broking, wealth management, M&A, debt portfolio management distribution and services. It also offers financial services including fixed income products, equities, loan and mortgages, derivatives, commodities, currencies,PMS, IPO, insurance, and real estate related services. The company was incorporated in 1994 and is based in Mumbai, India. Almondz Global Securities Limited operates as a subsidiary of Avonmore Capital & Management Services Limited.",Financial Services,Capital Markets,0.209294,Not Found,1.301,0.342,26150000,5.8,2053089664,59.0,102.8,Not Found,2023-07-10,76.0,15090,76.00028217953279,73.68063000837344,2.3196521711593476,2.1334482468853335,13.1034,-1.11,106.54,-0.1856009046997258,0.04655098106850364,-3.68,-74.26,0.0804156919090957,0.7138178286735382,9.43,-18.77,1.5172988917823602,1.22870602480384,12.84,-69.47,2.811802511116788,3.2576799714035225,7.04,-33.83,3.571715090453594,3.8366437148753896,-14.8,207.08,4.127554139720203,4.193943882849739,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
Angel One Limited,ANGELONE.NS,https://www.angelone.in,"Angel One Limited provides broking and advisory services, margin funding, loans against shares, and financial products to its clients in India. It operates in three segments: Broking and Related Services; Finance and Investing Activities; and Health and Allied Fitness Activities. The company offers broking services through online and digital platforms, as well as a network of authorized persons. Its products include equity, commodities, derivatives, and currency trading. The company offers portfolio management, investment advisory, intraday trading, trading account, portfolio health score, initial public offering, and DEMAT account services. It also engages in the financing and investment activities; and operation of fitness centers. The company was formerly known as Angel Broking Limited and changed its name to Angel One Limited in September 2021. The company was incorporated in 1996 and is based in Mumbai, India.",Financial Services,Capital Markets,0.119924,16.0,0.295,0.241,83819400,105.16,146478596096,999.0,1801.15,Not Found,2023-07-10,1709.9000244140625,447282,1694.680066077848,1598.0332881247227,96.64677795312537,98.8083159065345,16.26,-0.13,27.17,-6.182073751107964,-0.5403844883522879,-2.18,9.16,-5.721221055404612,10.024550498291674,14.8,-5.04,39.53202799581618,61.948555053838774,40.06,1.76,78.62806676602463,93.19387732672111,33.08,44.93,149.91093177569428,153.1688451467124,30.79,-3.68,121.68882182219409,145.54571658500714,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
Arihant Capital Markets Limited,ARIHANTCAP.NS,https://www.arihantcapital.com,"Arihant Capital Markets Limited, together with its subsidiaries, provides various financial products and services primarily in India. Its products include equities and derivatives broking; commodities and currency broking; mutual funds, IPOs, and NPS services; capital markets, corporate finance, strategic advisory, valuation, and specialized services; general and life insurance; depository services; loans against shares; and portfolio management and advisory services. The company also invests in asset classes and platforms. It serves retail, high net worth individuals, domestic and foreign financial institutions, and corporate clients. The company was incorporated in 1992 and is headquartered in Indore, India.",Financial Services,Capital Markets,0.154681,0.5,-0.846,-0.361,104113000,2.74,4134262528,33.25,86.7,Not Found,2023-07-10,38.5,25303,38.72881543097567,38.5207017465556,0.20811368442006994,0.24100858457315916,14.0511,-0.77,-33.16,-0.03994666590750029,-0.00822372503827229,-1.28,-48.18,-0.09718589073257533,0.0219504137280368,-3.75,-76.81,0.3328346117720926,0.9599608856617106,-8.22,-88.02,1.720699954349783,2.7224785445083444,-42.24,-93.9,0.3995862675186146,0.9735566904642736,-52.05,-64.13,1.1446793923298628,1.2926876922668353,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
AuSom Enterprise Limited,AUSOMENT.NS,https://www.ausom.in,"AuSom Enterprise Limited engages in trading activities in India. The company trades in commodities, bullions, gold jewelry, diamonds, derivatives, and shares and securities, as well as units of mutual funds. It is also involved in the manufacturing of gold jewelry. The company was formerly known as Core Emballage Limited. AuSom Enterprise Limited was incorporated in 1984 and is based in Ahmedabad, India.",Financial Services,Capital Markets,0.182496,1.0,Not Found,4.581,13623600,0.87,863918464,53.85,94.0,Not Found,2023-07-10,61.54999923706055,7517,62.98516841015214,63.10500171658332,-0.1198333064311754,0.09939776860276767,70.7471,-3.6,104.1,-0.13653965129119428,-0.05480776875848575,-1.12,63.98,-0.18038205972193566,-0.33809881881061155,-6.32,768.01,-1.3110039880798325,-0.6593532324067657,1.99,600.56,1.4350089853407368,1.8100858827808406,-12.13,191.13,0.11909723067415712,0.5232095506667374,-4.87,-19.25,0.5406419241652003,1.3753495201958235,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
Avonmore Capital & Management Services Limited,AVONMORE.NS,https://www.avonmorecapital.in,"Avonmore Capital & Management Services Limited provides non-banking financial and sub-broker advisory services in India. The company's Debt and Equity Market Operations segment deals/trades in securities and bonds. Its Consultancy and Advisory Fees segment offers merchant banking, underwriting commission, corporate and infrastructure advisory, loan syndication fees and arranger of debts/bonds, etc.; and advisory services related to infrastructure projects. The company's Wealth/Broking Activities segment is involved in stock and share broking, and other related services, as well as real estate broking services. Its Finance Activities segment grants loans. The company's Healthcare Services segment establishes, administers, owns, and operates eye care hospitals. Its Investment Activities segment engages in the investment activities. The company was formerly known as Almondz Capital & Management Services Limited. Avonmore Capital & Management Services Limited was incorporated in 1991 and is headquartered in New Delhi, India.",Financial Services,Capital Markets,0.578358,Not Found,-0.406,0.197,23353200,45.52,1862390912,58.5,87.6,Not Found,2023-07-10,79.44999694824219,43077,78.26630025864563,74.44967559734232,3.816624661303308,3.226548395580224,1.7454,-2.58,97.36,-0.18480812814534886,0.1475190664307715,-4.1,-50.58,0.666983575129791,1.372774864980411,20.56,-16.56,3.281521361050281,2.600710788219759,19.2,324.07,4.118542941928048,4.190336319292257,9.97,394.23,3.9094773739896596,3.2315244251049684,8.17,-22.18,3.816624661303308,3.226548395580224,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
Aditya Birla Money Limited,BIRLAMONEY.NS,https://stocksandsecurities.adityabirlacapital.com,"Aditya Birla Money Limited provides financial services in India. The company offers stock broking and portfolio management, depository, and e-insurance repository solutions as well as distributes other financial products. It is also involved in equity and derivative trading through NSE and BSE; currency derivative through MCX-SX; and commodities trading through MCX and NCDEX, as well as investment in securities. In addition, the company provides home, personal, SME, real estate, project, and corporate finance products, as well as loan against securities, debt capital market, and loan syndication services; asset management services, including mutual and pension funds, wealth management, stocks and securities, private equity, PMS, real estate investment, and pension funds. Further, it offers life, health, motor, corp general, and travel insurance products; and money advisory services. It operates through branches and franchisee outlets. The company was incorporated in 1995 and is based in Chennai, India. Aditya Birla Money Limited is a subsidiary of Aditya Birla Capital Limited.",Financial Services,Capital Markets,0.601424,Not Found,-0.035,0.016,56509200,5.94,3748283648,42.65,68.0,Not Found,2023-07-10,60.849998474121094,170629,59.102700801277464,57.08191281326495,2.020787988012515,1.7328513742088911,10.2441,-1.22,80.03,0.016243633103080413,0.07198415345090603,2.61,-15.03,0.5565386814564448,0.3301112093508345,8.86,70.92,0.8934029208369978,1.2064033487028385,28.24,17.4,3.957987903786929,3.8099517451829916,0.75,472.08,2.2971932841512412,2.063711567444204,8.27,231.05,2.6782075769775346,2.9732889033864893,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
BLB Limited,BLBLIMITED.NS,https://www.blblimited.com,"BLB Limited invests and trades in shares, securities, and commodities in India. The company was founded in 1965 and is based in New Delhi, India.",Financial Services,Capital Markets,0.248982,Not Found,0.806,-0.192,52865300,1.14,991210368,14.85,38.0,Not Found,2023-07-10,18.799999237060547,41128,18.9853707735404,19.216563519197802,-0.23119274565740255,-0.30421905933756804,16.4912,-0.79,-70.77,-0.00037877315262946354,0.01825657842004136,-2.08,-15.4,0.07126740104140339,0.13191848597464056,0.0,151.9,0.5938573196100805,0.579248296313633,-15.12,168.48,0.26672527035739435,0.29288562014313996,-43.03,-88.48,-3.5086614589778904,-2.316233651964254,9.3,87.63,0.4876444064003813,0.591418913721965,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
Central Depository Services (India) Limited,CDSL.NS,https://www.cdslindia.com,"Central Depository Services (India) Limited provides depository services in India. The company offers various services, such as account opening, dematerialization, processing delivery and receipt instructions, account statement, re-materialization, pledging, nomination, transmission of securities, change in address, bank account details, and SMS services for depository participants. It also provides facilities to issuers to credit securities to a shareholder's or applicants demat accounts; KYC services in respect of investors in capital markets to capital market intermediaries; facilities for holding of insurance policies in electronic form to the holders of these policies; and facilities for holding and transacting in electronic negotiable warehouse receipts. In addition, it offers services, such as electronic access to security information, electronic access to security information and execution of secured transaction, e-voting, e-notices, e-locker, and mobile application. The company serves investors through depository participants, issuer companies, capital market intermediaries, insurance companies, and warehouse service providers/warehouses. Central Depository Services (India) Limited was incorporated in 1997 and is based in Mumbai, India.",Financial Services,Capital Markets,0.302578,15.0,-0.187,0.028,104500000,26.4,127072002048,880.9,1451.9,1.27,2023-07-10,1207.25,1334915,1135.9592931777304,1090.5976654409972,45.361627736733226,31.36140765908197,45.7292,2.43,109.86,3.629759930237924,3.5000550194128195,4.8,-27.48,22.180520187947195,16.786349138293765,17.27,321.47,31.398190428996486,19.74266470681943,21.68,369.8,57.32222218303468,50.61810603069051,9.13,486.34,68.46655640784184,54.56977439622221,8.59,596.69,56.868836404465355,48.12128912185206,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
Choice International Limited,CHOICEIN.NS,https://www.choiceindia.com,"Choice International Limited, together with its subsidiaries, provides various financial services in India. The company operates through four segments: NBFC & Other Services, Broking & Distribution services, Consulting & Outsourcing Services, and Technical Services. It offers investment banking services, such as mergers and acquisitions, private equity, venture capital, angel investments, pipe deals, management and leverage buyouts, and strategic advisory; corporate finance, including working capital finance, corporate loans, bank guarantee, letter of credit, trade finance, project finance, mezzanine finance, and corporate debt restructuring advisory; and merchant banking comprising initial public offering (IPO), qualified institutional placement, rights issue, follow on issues, buy backs, takeovers, institutional trading platform, and pre-IPO placement. The company also provides IPO readiness services, including pre-IPO due diligence, ROC compliance, corporate governance, DHRP documentation, financial statements, promoter group and group entities, timing the market, and expedite the IPO journey; management consulting services comprising business and transaction advisory, taxation, and business restructuring; government advisory services; and infrastructure consulting. In addition, it offers mutual funds; wealth and portfolio management; insurance brokering service; equity, commodity, currency, and derivatives trading; loan against share; and margin trading facility services. Choice International Limited was incorporated in 1993 and is based in Mumbai, India.",Financial Services,Capital Markets,-0.024084,Not Found,0.519,0.712,99512000,6.01,34368806912,195.55,394.9,Not Found,2023-07-10,339.54998779296875,859497,355.25193253591954,360.8348693654941,-5.582936829574578,0.12825313034101837,56.4975,-1.57,-34.75,-1.1521085183708806,-1.4277974899788992,-3.86,260.63,-8.614743721184766,-7.818897217855884,-11.24,36.4,-19.09271112137185,-13.585901632468225,18.93,289.14,-11.591989913892405,-4.187003400824501,34.9,3367.53,-3.4881722188106608,3.369432307955826,69.5,-16.11,-12.798710636160877,-6.737356657569382,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
